acc_x,acc_y,acc_z
0.070366667,0.776288889,0.626911111
0.0724375,0.78615,0.62735
0.0696125,0.7878375,0.6275
0.07234,0.78679,0.63112
0.0773,0.783475,0.63595
0.071,0.782966667,0.638011111
0.0732875,0.78575,0.622125
0.076657143,0.783428571,0.6116
0.06952,0.77814,0.61693
0.070425,0.782325,0.6178375
0.072633333,0.780588889,0.624411111
0.0705,0.784855556,0.632811111
0.0708875,0.78545,0.6210125
0.0754125,0.7835125,0.6189625
0.073066667,0.780866667,0.627011111
0.06955,0.7810625,0.635725
0.072177778,0.784433333,0.6297
0.0734125,0.7830875,0.624475
0.074344444,0.779222222,0.626533333
0.0714,0.7825,0.627744444
0.06805,0.781325,0.6328
0.074075,0.78385,0.6298625
0.075488889,0.782255556,0.624
0.06865,0.778,0.6298375
0.069966667,0.781722222,0.6264
0.075933333,0.781066667,0.630066667
0.073675,0.779975,0.6333125
0.0726,0.77885,0.6274125
0.073111111,0.778333333,0.631033333
0.071477778,0.781233333,0.636
0.072825,0.782075,0.628325
0.0719375,0.780325,0.6322
0.072975,0.7790375,0.6309375
0.07091,0.7799,0.63398
0.074525,0.77925,0.6344875
0.0792,0.7797375,0.6199
0.071922222,0.777244444,0.627088889
0.072871429,0.7794,0.627428571
0.07221,0.78097,0.62696
0.0680125,0.77785,0.6308625
0.074644444,0.779166667,0.626155556
0.07515,0.7751375,0.6364125
0.072033333,0.7793,0.639588889
0.073644444,0.779511111,0.628655556
0.07465,0.7812,0.634625
0.076444444,0.777622222,0.6455
0.073275,0.77835,0.641625
0.072644444,0.780666667,0.630544444
0.071575,0.7763125,0.628275
0.0708875,0.7740625,0.6347875
0.0774,0.779288889,0.636855556
0.075366667,0.779622222,0.634588889
0.0725625,0.7779375,0.6274625
0.0714875,0.776725,0.62165
0.071866667,0.774344444,0.6335
0.073875,0.7799875,0.6401375
0.072188889,0.781177778,0.634433333
0.0743,0.779111111,0.6332
0.07035,0.77885,0.633225
0.074175,0.7745625,0.63495
0.0756875,0.777125,0.6353875
0.07202,0.77855,0.62974
0.0705125,0.7762375,0.6413375
0.0725625,0.77905,0.6356875
0.075455556,0.777466667,0.6305
0.0729375,0.777225,0.6342
0.0759,0.778266667,0.632088889
0.0721375,0.77755,0.6359875
0.0689125,0.7787625,0.63715
0.071888889,0.779655556,0.634344444
0.0756125,0.7774,0.6297625
0.07204,0.77725,0.6328
0.067675,0.7742125,0.6361125
0.076828571,0.779571429,0.641485714
0.07977,0.78163,0.63126
0.066911111,0.778233333,0.634788889
0.070575,0.77615,0.6300125
0.074825,0.7786875,0.6233875
0.0717,0.777722222,0.624522222
0.0663,0.782725,0.6315
0.068133333,0.780966667,0.644233333
0.079125,0.777225,0.6348875
0.075311111,0.776988889,0.6175
0.072485714,0.772,0.6241
0.07582,0.77358,0.63593
0.070477778,0.778044444,0.639077778
0.0680875,0.7842375,0.6309875
0.0687,0.78275,0.62555
0.0728125,0.7831625,0.637125
0.074255556,0.780422222,0.637188889
0.072844444,0.780222222,0.629566667
0.0726125,0.781325,0.6225
0.071311111,0.780333333,0.626222222
0.0721875,0.78445,0.6380375
0.069255556,0.782633333,0.642233333
0.0691875,0.7871625,0.6329875
0.0747125,0.78835,0.6259875
0.075722222,0.778722222,0.627466667
0.073044444,0.7669,0.6305
0.078288889,0.771211111,0.623888889
0.0774375,0.778075,0.6188125
0.0679125,0.7829,0.6230875
0.0651875,0.7836125,0.62115
