acc_x,acc_y,acc_z
1.000963636,-0.007536364,-0.049
1.004514286,-0.0053,-0.044014286
1.008918182,-0.000872727,-0.049136364
1.002975,-0.0023125,-0.046475
1.000388889,-0.003077778,-0.047711111
1.00505,-0.0049,-0.040975
1.004328571,-0.006171429,-0.0467
1.00764,-0.00609,-0.0418
1.003688889,-0.006,-0.045377778
1.000244444,-0.003455556,-0.044933333
1.0044125,-0.0045625,-0.0438375
0.999722222,-0.003066667,-0.049622222
1.003375,-0.0039,-0.0473
1.007675,-0.0022125,-0.0455625
1.006577778,-0.001033333,-0.042111111
1.002177778,-0.000666667,-0.040044444
1.002375,-0.00865,-0.0436375
1.0031125,-0.0065875,-0.0452625
1.007311111,-0.001644444,-0.043888889
1.004988889,0.000766667,-0.042955556
0.9985625,-0.0073625,-0.043075
1.0039,-0.0064,-0.048133333
1.005055556,-0.000877778,-0.048966667
1.00405,0.0001375,-0.0476
1.002011111,-0.000144444,-0.048166667
0.997775,0.0025375,-0.0509
1.0083125,-0.0231875,-0.0436125
1.005166667,0.004766667,-0.039777778
1.004455556,-0.003088889,-0.048211111
0.99785,-0.0030625,-0.043125
0.997311111,-0.006244444,-0.0465
1.00645,-0.005625,-0.04555
0.9992,-0.001233333,-0.047933333
1.0069375,-0.0008125,-0.0482375
1.007344444,0.004588889,-0.0516
1.004275,-0.0029875,-0.047925
1.007466667,-0.007733333,-0.039833333
0.99125,-0.0036625,-0.0501125
1.011388889,-0.004711111,-0.038022222
1.004522222,-0.003444444,-0.053155556
1.0055625,0.002875,-0.0486125
0.999655556,0.000911111,-0.047822222
1.000275,-0.0033,-0.051825
1.000955556,-0.006155556,-0.044477778
1.0042875,-0.0037875,-0.047525
1.0024875,0.00185,-0.0466125
1.007877778,0.001788889,-0.046255556
1.006022222,-0.003122222,-0.043177778
1.002325,-0.0065375,-0.045925
1.002488889,-0.004266667,-0.044788889
0.99875,-0.005425,-0.0467125
1.001977778,0.002966667,-0.055133333
1.004777778,0.001611111,-0.0497
1.006,0.0018125,-0.048875
1.006022222,-0.000722222,-0.042977778
1.001175,-0.0061125,-0.0419375
1.005155556,-0.0054,-0.0423
1.0073625,-0.0014375,-0.0441875
1.000133333,-0.003922222,-0.049233333
1.0026125,-0.0021125,-0.046825
1.0037,0.002255556,-0.049566667
1.0061,0.002477778,-0.049877778
1.0036375,-0.0022875,-0.05095
1.001922222,-0.004055556,-0.047755556
1.00135,-0.0051875,-0.04475
1.003622222,-0.000333333,-0.051033333
1.0038375,-0.000425,-0.0502625
1.003088889,-0.001755556,-0.049822222
1.002033333,0.000477778,-0.052211111
1.0029375,5.00E-05,-0.0490125
1.002075,-0.0019625,-0.0509125
1.004588889,-0.001177778,-0.051544444
1.005675,0.0024,-0.0525
1.004633333,0.002844444,-0.046833333
0.999844444,-0.005511111,-0.045055556
1.0025,-0.004,-0.048125
1.0047125,0.0002125,-0.0517875
1.005377778,0.003077778,-0.049422222
1.003911111,0.001011111,-0.0503
1.0028125,-0.0005875,-0.0497375
1.0047375,-0.0032625,-0.0504625
1.001677778,-0.000122222,-0.047044444
1.00055,-0.00075,-0.0533875
1.001955556,-0.001677778,-0.051722222
