acc_x,acc_y,acc_z
1.034,0.015025,0.261125
1.046988889,-0.011233333,0.318322222
1.019111111,-0.051022222,0.338322222
1.009228571,-0.065842857,0.346814286
1.05161,-0.01738,0.3853
1.123125,0.029075,0.4211625
1.1523875,0.042025,0.408925
1.1716,0.017244444,0.320088889
1.2038,-0.040444444,0.1694
1.2343375,-0.1370875,-0.0001125
1.2748,-0.223875,-0.0984625
1.376044444,-0.231266667,-0.075544444
1.153177778,-0.329211111,0.071488889
0.762975,-0.4547125,0.3526375
0.5054,-0.5110375,0.6197875
0.564411111,-0.437088889,0.644588889
0.702875,-0.34325,0.534475
0.863611111,-0.185711111,0.418844444
1.0516875,-0.0034375,0.3141
1.135544444,0.115444444,0.1787
1.091955556,0.174655556,0.076333333
0.9652875,0.1674625,0.08915
0.824033333,0.070044444,0.171244444
0.680942857,-0.035914286,0.1993
0.674233333,-0.078177778,0.280077778
0.637011111,-0.146788889,0.4084
0.6161625,-0.16815,0.5331
0.681811111,-0.129244444,0.572555556
0.777228571,-0.0851,0.506785714
0.91069,-0.04276,0.42864
1.011855556,-0.048133333,0.2975
1.0955625,-0.0740375,0.25115
1.1506,-0.0597875,0.3744
1.152255556,-0.059033333,0.557433333
1.124566667,-0.102755556,0.596155556
1.0471875,-0.1807125,0.4576375
1.031966667,-0.275833333,0.377788889
1.121825,-0.2987875,0.3183
1.152222222,-0.271088889,0.224644444
1.1646625,-0.3072625,0.1291125
1.1922875,-0.2320875,0.0876125
1.0848,-0.212,0.017133333
0.833588889,-0.224222222,0.067144444
0.6615,-0.2012375,0.156225
0.641011111,-0.155066667,0.194411111
0.6920875,-0.114425,0.2082
0.7963375,-0.0817,0.2385125
0.935788889,-0.075122222,0.2588
1.065255556,-0.0877,0.214833333
1.084125,-0.1145625,0.1110875
1.0579625,-0.1200125,0.0613375
0.984044444,-0.128811111,0.139277778
0.886488889,-0.1198,0.285677778
0.8704375,-0.0839625,0.347675
0.8937375,-0.056225,0.300325
0.896644444,-0.048911111,0.207455556
0.913244444,-0.033177778,0.171211111
0.9595625,-0.0087875,0.1612125
0.989755556,-0.001088889,0.215277778
1.0384375,0.001025,0.2829875
1.0538,-0.019888889,0.309966667
1.043075,-0.0515375,0.301975
1.005844444,-0.080733333,0.308677778
0.997542857,-0.065428571,0.353828571
1.05063,-0.02623,0.41195
1.0761,-0.0264375,0.414825
1.138033333,-0.057777778,0.345055556
1.21555,-0.1163,0.1744625
1.292842857,-0.163985714,0.006471429
1.33715,-0.2085,-0.08265
1.2744,-0.248844444,-0.033455556
1.0903,-0.295125,0.15195
0.795933333,-0.383977778,0.326588889
0.5538125,-0.4608625,0.457075
0.579177778,-0.412077778,0.511711111
0.6782,-0.3592625,0.48105
0.835422222,-0.258888889,0.377433333
1.0430875,-0.074375,0.3021125
1.12655,0.009275,0.1842875
1.133366667,0.057766667,0.059433333
1.0818,0.1053,0.058711111
0.9602375,0.0859625,0.135925
0.762644444,-0.064355556,0.192644444
0.662125,-0.136275,0.284175
0.656077778,-0.189588889,0.383744444
0.6727375,-0.2100875,0.465975
0.6752125,-0.2147375,0.4817625
0.722133333,-0.173655556,0.471322222
0.8129,-0.142466667,0.425922222
0.8902625,-0.113525,0.408725
0.991222222,-0.076811111,0.414611111
1.0988125,-0.0686625,0.3332875
1.134344444,-0.080422222,0.271944444
1.13445,-0.0851375,0.3580375
1.144075,-0.079475,0.466375
1.098366667,-0.123488889,0.459955556
1.054044444,-0.193433333,0.380277778
1.0861625,-0.27665,0.3118
1.156255556,-0.270744444,0.217288889
1.1811875,-0.311925,0.166925
1.1649,-0.2695875,0.179
1.112677778,-0.240688889,0.167877778
0.928522222,-0.226477778,0.116266667
0.736425,-0.2133375,0.1089125
0.623455556,-0.189977778,0.118077778
0.6395125,-0.142875,0.1242125
0.750066667,-0.089244444,0.108088889
0.83095,-0.08885,0.1107
0.947866667,-0.106333333,0.155733333
1.095890909,-0.1166,0.199327273
1.144775,-0.1061375,0.206125
1.0315,-0.1369,0.210077778
0.86215,-0.185825,0.2752375
0.802975,-0.1566,0.3419375
0.87758,-0.08569,0.33997
0.9256,-0.0617125,0.24885
0.951125,-0.050525,0.1746875
0.982188889,-0.034955556,0.132577778
0.997488889,-0.013877778,0.153966667
0.97835,-0.0094,0.217275
0.9813375,-0.017675,0.2558125
0.978566667,-0.0532,0.259544444
0.979222222,-0.092888889,0.264133333
0.980328571,-0.116757143,0.293271429
0.997,-0.104788889,0.3803
1.065366667,-0.061844444,0.469088889
1.083625,-0.0430875,0.478275
1.106355556,-0.030722222,0.359877778
1.1184625,-0.0541125,0.2254875
1.223725,-0.064175,0.11095
1.384522222,-0.073977778,-0.010722222
1.454611111,-0.114422222,-0.131688889
1.212775,-0.236,-0.077075
0.9268,-0.3433,0.1246
0.642185714,-0.4565,0.295414286
0.530944444,-0.498088889,0.434366667
0.6551,-0.423266667,0.510933333
0.785611111,-0.3824,0.523122222
0.9921625,-0.211575,0.46815
1.136257143,-0.049771429,0.3709
1.13631,0.0211,0.17835
1.080488889,0.094022222,0.080311111
0.9534,0.103875,0.1176125
0.8088875,0.01435,0.1780375
